save_index,time_s,step_name,segment_name
0,0.0,run,run
1,0.04,run,run
2,0.08,run,run
3,0.12000000000000001,run,run
4,0.16,run,run
5,0.19999999999999998,run,run
6,0.23999999999999996,run,run
7,0.27999999999999997,run,run
8,0.32,run,run
9,0.36000000000000004,run,run
10,0.4000000000000001,run,run
11,0.4400000000000001,run,run
12,0.48000000000000015,run,run
13,0.5200000000000001,run,run
14,0.5600000000000002,run,run
15,0.6000000000000002,run,run
16,0.6400000000000002,run,run
17,0.6800000000000003,run,run
18,0.7200000000000003,run,run
19,0.7600000000000003,run,run
20,0.8000000000000004,run,run
21,0.8400000000000004,run,run
22,0.8800000000000004,run,run
23,0.9200000000000005,run,run
24,0.9600000000000005,run,run
25,1.0,run,run
