time_s,particle_id,part_id,step_name,segment_name,outcome,wall_mode,alpha_hit,material_id,material_name
0.01,2,4,run,run,reflected_specular,mixed_specular_diffuse,1.1641148989154548e-10,2,ceramic_reflective
0.01,75,4,run,run,reflected_specular,mixed_specular_diffuse,1.164156536280821e-10,2,ceramic_reflective
0.01,86,4,run,run,reflected_specular,mixed_specular_diffuse,1.1641220089377613e-10,2,ceramic_reflective
0.01,158,4,run,run,reflected_diffuse,mixed_specular_diffuse,1.1641220481002228e-10,2,ceramic_reflective
0.01,162,4,run,run,reflected_diffuse,mixed_specular_diffuse,1.1641544583872547e-10,2,ceramic_reflective
0.01,165,3,run,run,reflected_diffuse,mixed_specular_diffuse,0.9962250398239165,1,steel_sticky
0.01,167,4,run,run,reflected_specular,mixed_specular_diffuse,1.1641392690385088e-10,2,ceramic_reflective
0.01,170,4,run,run,reflected_specular,mixed_specular_diffuse,1.1641564353535493e-10,2,ceramic_reflective
0.01,172,4,run,run,reflected_diffuse,mixed_specular_diffuse,1.1642405671156515e-10,2,ceramic_reflective
0.01,176,4,run,run,reflected_specular,mixed_specular_diffuse,1.1641190609430475e-10,2,ceramic_reflective
0.01,202,4,run,run,reflected_specular,mixed_specular_diffuse,0.13895220740233263,2,ceramic_reflective
0.01,243,4,run,run,reflected_diffuse,mixed_specular_diffuse,1.164121999309207e-10,2,ceramic_reflective
0.01,249,4,run,run,reflected_specular,mixed_specular_diffuse,1.1641219859883637e-10,2,ceramic_reflective
0.02,2,4,run,run,reflected_specular,mixed_specular_diffuse,0.9490446193376241,2,ceramic_reflective
0.02,75,4,run,run,reflected_specular,mixed_specular_diffuse,0.9049035528442109,2,ceramic_reflective
0.02,86,4,run,run,reflected_specular,mixed_specular_diffuse,0.8374667620519191,2,ceramic_reflective
0.02,144,11,run,run,reflected_specular,mixed_specular_diffuse,0.445061416016013,1,steel_sticky
0.02,158,4,run,run,reflected_specular,mixed_specular_diffuse,0.03302605694626388,2,ceramic_reflective
0.02,165,3,run,run,reflected_specular,mixed_specular_diffuse,0.0005396107444237785,1,steel_sticky
0.02,167,4,run,run,reflected_diffuse,mixed_specular_diffuse,0.5656731106573846,2,ceramic_reflective
0.02,176,4,run,run,reflected_specular,mixed_specular_diffuse,0.9498490876285033,2,ceramic_reflective
0.02,202,4,run,run,stuck,mixed_specular_diffuse,1.1641878533158438e-10,2,ceramic_reflective
0.02,249,4,run,run,reflected_diffuse,mixed_specular_diffuse,0.7196456190431453,2,ceramic_reflective
0.02,262,12,run,run,reflected_diffuse,mixed_specular_diffuse,0.24783894361462283,2,ceramic_reflective
0.02,266,4,run,run,reflected_diffuse,mixed_specular_diffuse,1.1641566131318078e-10,2,ceramic_reflective
0.02,267,6,run,run,reflected_specular,mixed_specular_diffuse,0.9989720872836221,2,ceramic_reflective
0.02,274,4,run,run,reflected_diffuse,mixed_specular_diffuse,1.1641567497800864e-10,2,ceramic_reflective
0.02,276,4,run,run,reflected_specular,mixed_specular_diffuse,1.1641202610224448e-10,2,ceramic_reflective
0.02,277,6,run,run,reflected_specular,mixed_specular_diffuse,1.1641451038753676e-10,2,ceramic_reflective
0.02,286,4,run,run,reflected_specular,mixed_specular_diffuse,1.1641564805356684e-10,2,ceramic_reflective
0.02,298,4,run,run,reflected_specular,mixed_specular_diffuse,1.1641219920027212e-10,2,ceramic_reflective
0.02,304,4,run,run,reflected_specular,mixed_specular_diffuse,1.1642226849988157e-10,2,ceramic_reflective
0.02,306,4,run,run,reflected_diffuse,mixed_specular_diffuse,1.1642406688425135e-10,2,ceramic_reflective
0.02,329,4,run,run,reflected_diffuse,mixed_specular_diffuse,1.1640956273271378e-10,2,ceramic_reflective
0.02,334,4,run,run,reflected_specular,mixed_specular_diffuse,1.1642226658746525e-10,2,ceramic_reflective
0.02,337,4,run,run,reflected_diffuse,mixed_specular_diffuse,1.1641566078268923e-10,2,ceramic_reflective
0.02,348,4,run,run,reflected_specular,mixed_specular_diffuse,1.164235397116877e-10,2,ceramic_reflective
0.02,349,4,run,run,reflected_specular,mixed_specular_diffuse,1.1641540856195056e-10,2,ceramic_reflective
0.02,351,4,run,run,reflected_diffuse,mixed_specular_diffuse,0.18553080048877985,2,ceramic_reflective
0.02,365,4,run,run,reflected_specular,mixed_specular_diffuse,1.1641220391404178e-10,2,ceramic_reflective
0.02,375,4,run,run,reflected_specular,mixed_specular_diffuse,1.1641220285179038e-10,2,ceramic_reflective
0.02,390,4,run,run,reflected_diffuse,mixed_specular_diffuse,1.164115209358861e-10,2,ceramic_reflective
0.02,408,4,run,run,stuck,mixed_specular_diffuse,1.1642226225609928e-10,2,ceramic_reflective
0.02,421,4,run,run,reflected_diffuse,mixed_specular_diffuse,0.2818356264615432,2,ceramic_reflective
0.02,422,4,run,run,reflected_diffuse,mixed_specular_diffuse,1.1641566780571435e-10,2,ceramic_reflective
0.02,427,4,run,run,reflected_specular,mixed_specular_diffuse,1.1641393201141296e-10,2,ceramic_reflective
0.02,433,4,run,run,reflected_diffuse,mixed_specular_diffuse,1.1641565894473007e-10,2,ceramic_reflective
0.02,449,6,run,run,reflected_specular,mixed_specular_diffuse,0.24783894361462555,2,ceramic_reflective
0.02,453,4,run,run,reflected_specular,mixed_specular_diffuse,1.1641547614368186e-10,2,ceramic_reflective
0.02,459,4,run,run,stuck,mixed_specular_diffuse,1.1641544362822324e-10,2,ceramic_reflective
0.02,463,4,run,run,reflected_diffuse,mixed_specular_diffuse,1.1641220844438669e-10,2,ceramic_reflective
0.02,486,11,run,run,reflected_diffuse,mixed_specular_diffuse,0.9532763533061201,1,steel_sticky
0.02,496,4,run,run,reflected_specular,mixed_specular_diffuse,1.1642407364525184e-10,2,ceramic_reflective
0.03,2,4,run,run,reflected_diffuse,mixed_specular_diffuse,1.1644353020647953e-10,2,ceramic_reflective
0.03,33,3,run,run,reflected_diffuse,mixed_specular_diffuse,0.7067987126065473,1,steel_sticky
0.03,75,4,run,run,reflected_specular,mixed_specular_diffuse,0.10754000244195243,2,ceramic_reflective
0.03,86,4,run,run,reflected_specular,mixed_specular_diffuse,0.09136470349038264,2,ceramic_reflective
0.03,144,11,run,run,reflected_specular,mixed_specular_diffuse,0.5318576347781608,1,steel_sticky
0.03,158,4,run,run,reflected_specular,mixed_specular_diffuse,0.7928858191007875,2,ceramic_reflective
