save_index,time_s,step_name,segment_name
0,0.0,run,run
1,0.02,run,run
2,0.04,run,run
3,0.060000000000000005,run,run
4,0.08,run,run
5,0.09999999999999999,run,run
6,0.11999999999999998,run,run
7,0.13999999999999999,run,run
8,0.16,run,run
9,0.18000000000000002,run,run
10,0.20000000000000004,run,run
11,0.22000000000000006,run,run
12,0.24000000000000007,run,run
13,0.26000000000000006,run,run
14,0.2800000000000001,run,run
15,0.3000000000000001,run,run
16,0.3200000000000001,run,run
17,0.34000000000000014,run,run
18,0.36000000000000015,run,run
19,0.38000000000000017,run,run
20,0.4000000000000002,run,run
21,0.4200000000000002,run,run
22,0.4400000000000002,run,run
23,0.46000000000000024,run,run
24,0.48000000000000026,run,run
25,0.5000000000000002,run,run
26,0.5200000000000002,run,run
27,0.5400000000000003,run,run
28,0.5600000000000003,run,run
29,0.5800000000000003,run,run
30,0.6000000000000003,run,run
31,0.6200000000000003,run,run
32,0.6400000000000003,run,run
33,0.6600000000000004,run,run
34,0.6800000000000004,run,run
35,0.7000000000000004,run,run
36,0.7200000000000004,run,run
37,0.7400000000000004,run,run
38,0.7600000000000005,run,run
39,0.7800000000000005,run,run
40,0.8,run,run
