time_s,particle_id,part_id,step_name,segment_name,outcome,wall_mode,alpha_hit,material_id,material_name
0.02,144,11,run,run,reflected_specular,mixed_specular_diffuse,0.44506141597435983,1,steel_sticky
0.02,262,12,run,run,reflected_specular,mixed_specular_diffuse,0.24783894357357295,2,ceramic_reflective
0.02,267,6,run,run,reflected_specular,mixed_specular_diffuse,0.9989720873441763,2,ceramic_reflective
0.02,277,6,run,run,reflected_diffuse,mixed_specular_diffuse,-0.0,2,ceramic_reflective
0.02,449,6,run,run,reflected_diffuse,mixed_specular_diffuse,0.24783894357353645,2,ceramic_reflective
0.02,486,11,run,run,reflected_diffuse,mixed_specular_diffuse,0.9532763532764528,1,steel_sticky
0.03,144,11,run,run,reflected_specular,mixed_specular_diffuse,0.5318576348256924,1,steel_sticky
0.03,229,11,run,run,reflected_specular,mixed_specular_diffuse,0.6045953028103096,1,steel_sticky
0.03,262,12,run,run,reflected_diffuse,mixed_specular_diffuse,0.7191998352728104,2,ceramic_reflective
0.03,267,6,run,run,reflected_specular,mixed_specular_diffuse,0.0008235315899602425,2,ceramic_reflective
0.03,277,6,run,run,reflected_specular,mixed_specular_diffuse,0.4801587951372013,2,ceramic_reflective
0.03,364,11,run,run,stuck,mixed_specular_diffuse,0.2588845610996427,1,steel_sticky
0.03,449,6,run,run,reflected_diffuse,mixed_specular_diffuse,0.1100713765953718,2,ceramic_reflective
0.03,486,11,run,run,reflected_specular,mixed_specular_diffuse,0.15899440219174032,1,steel_sticky
0.03,593,12,run,run,reflected_specular,mixed_specular_diffuse,0.21972276089926013,2,ceramic_reflective
0.03,694,6,run,run,reflected_specular,mixed_specular_diffuse,0.6377319157806832,2,ceramic_reflective
0.04,3,12,run,run,reflected_specular,mixed_specular_diffuse,0.7119711518970554,2,ceramic_reflective
0.04,144,11,run,run,reflected_specular,mixed_specular_diffuse,0.4497563735654025,1,steel_sticky
0.04,229,11,run,run,reflected_specular,mixed_specular_diffuse,0.3722936235734269,1,steel_sticky
0.04,262,12,run,run,reflected_specular,mixed_specular_diffuse,0.13183898744735578,2,ceramic_reflective
0.04,267,6,run,run,reflected_specular,mixed_specular_diffuse,0.5717660888380711,2,ceramic_reflective
0.04,277,6,run,run,reflected_specular,mixed_specular_diffuse,0.4940065064908522,2,ceramic_reflective
0.04,338,11,run,run,stuck,mixed_specular_diffuse,0.8525446728575815,1,steel_sticky
0.04,345,12,run,run,reflected_diffuse,mixed_specular_diffuse,0.7224755790749875,2,ceramic_reflective
