time_s,step_name,segment_name,released_count,active_count,stuck_count,absorbed_count,escaped_count,save_positions_enabled,write_wall_events_enabled,write_diagnostics_enabled
0.005,run,run,125,125,0,0,0,1,1,1
0.01,run,run,250,250,0,0,0,1,1,1
0.015,run,run,375,375,0,0,0,1,1,1
0.02,run,run,500,500,0,0,0,1,1,1
0.025,run,run,625,624,1,0,0,1,1,1
0.030000000000000002,run,run,750,748,2,0,0,1,1,1
0.035,run,run,875,872,3,0,0,1,1,1
0.04,run,run,1000,996,4,0,0,1,1,1
0.045,run,run,1125,1119,6,0,0,1,1,1
0.049999999999999996,run,run,1250,1243,7,0,0,1,1,1
0.05499999999999999,run,run,1375,1366,9,0,0,1,1,1
0.05999999999999999,run,run,1500,1487,13,0,0,1,1,1
0.06499999999999999,run,run,1625,1608,17,0,0,1,1,1
0.06999999999999999,run,run,1750,1730,20,0,0,1,1,1
0.075,run,run,1875,1851,24,0,0,1,1,1
0.08,run,run,2000,1974,26,0,0,1,1,1
0.085,run,run,2125,2093,32,0,0,1,1,1
0.09000000000000001,run,run,2250,2212,38,0,0,1,1,1
0.09500000000000001,run,run,2375,2335,40,0,0,1,1,1
0.10000000000000002,run,run,2500,2454,46,0,0,1,1,1
0.10500000000000002,run,run,2625,2575,50,0,0,1,1,1
0.11000000000000003,run,run,2750,2694,56,0,0,1,1,1
0.11500000000000003,run,run,2875,2814,61,0,0,1,1,1
0.12000000000000004,run,run,3000,2932,68,0,0,1,1,1
0.12500000000000003,run,run,3125,3052,73,0,0,1,1,1
0.13000000000000003,run,run,3250,3171,79,0,0,1,1,1
0.13500000000000004,run,run,3375,3292,83,0,0,1,1,1
0.14000000000000004,run,run,3500,3411,89,0,0,1,1,1
0.14500000000000005,run,run,3625,3529,96,0,0,1,1,1
0.15000000000000005,run,run,3750,3648,102,0,0,1,1,1
0.15500000000000005,run,run,3875,3770,105,0,0,1,1,1
0.16000000000000006,run,run,4000,3888,112,0,0,1,1,1
0.16500000000000006,run,run,4125,4007,118,0,0,1,1,1
0.17000000000000007,run,run,4250,4123,127,0,0,1,1,1
0.17500000000000007,run,run,4375,4243,132,0,0,1,1,1
0.18000000000000008,run,run,4500,4360,140,0,0,1,1,1
0.18500000000000008,run,run,4625,4473,152,0,0,1,1,1
0.19000000000000009,run,run,4750,4589,161,0,0,1,1,1
0.1950000000000001,run,run,4875,4706,169,0,0,1,1,1
0.2000000000000001,run,run,5000,4824,176,0,0,1,1,1
0.2050000000000001,run,run,5125,4940,185,0,0,1,1,1
0.2100000000000001,run,run,5250,5054,196,0,0,1,1,1
0.2150000000000001,run,run,5375,5163,212,0,0,1,1,1
0.2200000000000001,run,run,5500,5272,228,0,0,1,1,1
0.22500000000000012,run,run,5625,5391,234,0,0,1,1,1
0.23000000000000012,run,run,5750,5503,247,0,0,1,1,1
0.23500000000000013,run,run,5875,5613,262,0,0,1,1,1
0.24000000000000013,run,run,6000,5724,276,0,0,1,1,1
0.24500000000000013,run,run,6125,5833,292,0,0,1,1,1
0.2500000000000001,run,run,6250,5942,308,0,0,1,1,1
