particle_id,release_time,released,active,stuck,absorbed,escaped,final_step_name,final_segment_name,source_part_id,material_id,x,v_x,y,v_y
1,0.0,1,1,0,0,0,run,run,1,1,0.08270768044434035,0.03573080686812402,0.018595149049080138,-0.015526758058887365
2,4.0004000400040005e-05,1,1,0,0,0,run,run,2,2,0.03831876713155874,-0.00452481307600525,0.011994999031421516,0.006120071229173823
3,8.000800080008001e-05,1,0,1,0,0,run,run,3,1,0.101599,0.0,0.06104186691489621,0.0
4,0.0001200120012001,1,1,0,0,0,run,run,4,2,0.01958685949552995,0.01135418353142904,0.014776808488453466,0.015416674379815127
5,0.0001600160016001,1,1,0,0,0,run,run,5,1,0.04180407338275124,0.007458428515008942,0.014007598902929961,0.004463834105511244
6,0.0002000200020002,1,0,1,0,0,run,run,6,2,1e-06,0.0,0.004328051305797666,0.0
7,0.0002400240024002,1,0,1,0,0,run,run,7,1,0.053801,0.0,-0.005286261726541589,0.0
8,0.0002800280028002,1,1,0,0,0,run,run,8,2,0.08430005630574258,0.02286145667803443,0.016407469254014484,-0.016373741013268828
9,0.0003200320032003,1,1,0,0,0,run,run,9,1,0.006255540382579931,0.023737388878883717,0.016939914222399478,0.022038303890850836
10,0.0003600360036003,1,1,0,0,0,run,run,10,2,0.047411061086607066,0.049973837800525354,0.021181373725616973,0.0019137191394676
11,0.0004000400040004,1,1,0,0,0,run,run,11,1,0.020597618177619677,0.0332986137990628,0.018488837750094567,0.01502724801199357
12,0.0004400440044004,1,1,0,0,0,run,run,12,2,0.024144804546675322,0.004630769303674794,0.013615548637258031,0.013140503516910151
13,0.0004800480048004,1,1,0,0,0,run,run,1,1,0.051319335420230205,0.018387732875496544,0.015812005223816327,-0.00016508764344254324
14,0.0005200520052005,1,1,0,0,0,run,run,2,2,0.026321172800381838,0.01966434873421831,0.01615126412198131,0.012143440298700953
15,0.0005600560056005,1,1,0,0,0,run,run,3,1,0.008744681585261267,0.023696001570215605,0.016920654224044894,0.020813129148839017
16,0.0006000600060006,1,1,0,0,0,run,run,4,2,0.008754352937259992,0.0035423491241040844,0.013506929667662497,0.020709188264754454
17,0.0006400640064006,1,0,1,0,0,run,run,5,1,1.0000000000000542e-06,0.0,0.0034433902292828433,0.0
18,0.0006800680068006,1,0,1,0,0,run,run,6,2,9.999999999999864e-07,0.0,0.010319468515079977,0.0
19,0.0007200720072007,1,0,1,0,0,run,run,7,1,1e-06,0.0,0.004417619551261606,0.0
20,0.0007600760076007,1,1,0,0,0,run,run,8,2,0.08354794489331215,0.0038455492791083772,0.01319020778127292,-0.016097189665610766
21,0.0008000800080008,1,1,0,0,0,run,run,9,1,0.006707980466800472,0.040156323885662766,0.019718768660118166,0.021896448214594556
22,0.0008400840084008,1,1,0,0,0,run,run,10,2,0.005386923248198529,0.030757426267306744,0.018133260718408657,0.02250032038113904
23,0.0008800880088008,1,0,1,0,0,run,run,11,1,0.053801,0.0,-0.02936766492251871,0.0
24,0.0009200920092009,1,1,0,0,0,run,run,12,2,0.01400043729685795,0.056502835509291714,0.022451694341080453,0.01838808615070617
25,0.0009600960096009,1,1,0,0,0,run,run,1,1,0.0701718802886075,0.021609253681552122,0.016264896347728108,-0.009427060901472441
26,0.001000100010001,1,1,0,0,0,run,run,2,2,0.027136264551762674,0.013076895708940843,0.015031453279049907,0.011709893900259215
27,0.001040104010401,1,1,0,0,0,run,run,3,1,0.026439513198174107,0.01870793884523529,0.01598868259618365,0.012080495172381025
28,0.001080108010801,1,0,1,0,0,run,run,4,2,0.053801,0.0,-0.0049098365843750534,0.0
29,0.0011201120112011,1,1,0,0,0,run,run,5,1,0.01041236256887657,0.032802972564893444,0.018455009065395305,0.020037237774002147
