particle_id,release_time,released,active,stuck,absorbed,escaped,final_step_name,final_segment_name,source_part_id,material_id,x,v_x,y,v_y
1,0.0,1,1,0,0,0,run,run,1,1,0.08270803908452366,0.035732564009296065,0.018595446760901538,-0.015526921447629172
2,4.0004000400040005e-05,1,1,0,0,0,run,run,2,2,0.038318527981069654,-0.004525291952937483,0.011994918836796485,0.006120184792978754
3,8.000800080008001e-05,1,0,1,0,0,run,run,3,1,0.101599,0.0,0.06210059571222686,0.0
4,0.0001200120012001,1,1,0,0,0,run,run,4,2,0.01958602431087974,0.011353485930056927,0.014776694905896321,0.015417077467264378
5,0.0001600160016001,1,1,0,0,0,run,run,5,1,0.04180378889054426,0.007458319781513975,0.014007582226311125,0.004463972268771594
6,0.0002000200020002,1,0,1,0,0,run,run,6,2,9.999999999999728e-07,0.0,0.003970073388798544,0.0
7,0.0002400240024002,1,0,1,0,0,run,run,7,1,0.053801,0.0,-0.005229416209643889,0.0
8,0.0002800280028002,1,1,0,0,0,run,run,8,2,0.08430058610235333,0.022862978353725742,0.016407725611735653,-0.016373989526795175
9,0.0003200320032003,1,1,0,0,0,run,run,9,1,0.006254269686055036,0.023736559482682412,0.016939781029916588,0.022038918714774473
10,0.0003600360036003,1,1,0,0,0,run,run,10,2,0.04741046059939575,0.04997483702838446,0.02118154837936136,0.0019140189446598744
11,0.0004000400040004,1,1,0,0,0,run,run,11,1,0.02059657666456388,0.03329843087442678,0.018488813441791378,0.015027755253575638
12,0.0004400440044004,1,1,0,0,0,run,run,12,2,0.02414414430274139,0.004630061854669956,0.013615432208304063,0.01314082113399294
13,0.0004800480048004,1,1,0,0,0,run,run,1,1,0.051319155013659766,0.01838815418471392,0.015812078379433003,-0.00016499676568922192
14,0.0005200520052005,1,1,0,0,0,run,run,2,2,0.026320405266041052,0.019664038947478642,0.016151216323304834,0.012143812941334325
15,0.0005600560056005,1,1,0,0,0,run,run,3,1,0.008743468454105284,0.023695246862136907,0.016920533404223292,0.02081371636693899
16,0.0006000600060006,1,1,0,0,0,run,run,4,2,0.008753350825458108,0.003541150227137504,0.013506731580862042,0.020709669507853704
17,0.0006400640064006,1,0,1,0,0,run,run,5,1,1e-06,0.0,0.003446102069117934,0.0
18,0.0006800680068006,1,0,1,0,0,run,run,6,2,1e-06,0.0,0.009459966325708415,0.0
19,0.0007200720072007,1,0,1,0,0,run,run,7,1,1e-06,0.0,0.003908979680677113,0.0
20,0.0007600760076007,1,1,0,0,0,run,run,8,2,0.0835486563240579,0.0038466287214468466,0.013190387401607767,-0.0160975297954654
21,0.0008000800080008,1,1,0,0,0,run,run,9,1,0.006706548420942482,0.04015587034568106,0.019718700733551364,0.021897144310094697
22,0.0008400840084008,1,1,0,0,0,run,run,10,2,0.0053855591884111546,0.030756725313991408,0.018133150083966817,0.022500981639355107
23,0.0008800880088008,1,0,1,0,0,run,run,11,1,0.053801,0.0,-0.027991278910588543,0.0
24,0.0009200920092009,1,1,0,0,0,run,run,12,2,0.013999001655940578,0.05650296397519451,0.02245172583825549,0.018388787875554754
25,0.0009600960096009,1,1,0,0,0,run,run,1,1,0.07017209890305472,0.021610318635296385,0.016265076774133715,-0.009427160538362643
26,0.001000100010001,1,1,0,0,0,run,run,2,2,0.027135584627511672,0.013076465394142613,0.015031384312389918,0.01171022296994515
27,0.001040104010401,1,1,0,0,0,run,run,3,1,0.026438758383644134,0.018707611559436885,0.015988631724199672,0.012080861488806431
28,0.001080108010801,1,0,1,0,0,run,run,4,2,0.053801,0.0,-0.004747070883726082,0.0
29,0.0011201120112011,1,1,0,0,0,run,run,5,1,0.010411092461006638,0.032802469359552014,0.018454931578584636,0.0200378544819187
30,0.0011601160116011,1,0,1,0,0,run,run,6,2,0.053801,0.0,-0.003246105114784519,0.0
31,0.0012001200120012,1,1,0,0,0,run,run,7,1,0.004916718832488481,-0.006805237970567997,0.011773114550136824,0.022546858019883934
32,0.0012401240124012,1,1,0,0,0,run,run,8,2,0.0746844154134439,0.017766318109328643,0.015591763720399943,-0.01166670541153629
33,0.0012801280128012,1,1,0,0,0,run,run,9,1,0.013196159026754256,4.959287573778356e-16,0.025399999999999995,1.2738269212087095e-16
34,0.0013201320132013,1,1,0,0,0,run,run,10,2,0.06947943529062987,-0.04556127900678471,0.004890786025010435,-0.009416851569231803
35,0.0013601360136013,1,1,0,0,0,run,run,11,1,0.03207759055161713,0.045908558928809684,0.020568248636277667,0.009439709316509615
36,0.0014001400140014,1,1,0,0,0,run,run,12,2,0.0536712704230495,-0.0006196053313476695,0.01258091938143151,-0.0014160756095174922
37,0.0014401440144014,1,1,0,0,0,run,run,1,1,0.035962947484079466,0.0006470791945464353,0.025396165528692935,6.560748513148148e-05
38,0.0014801480148014,1,1,0,0,0,run,run,2,2,0.055362433169136666,0.028371633332505905,0.01748320797463335,-0.0021056671629839287
39,0.0015201520152015,1,0,1,0,0,run,run,3,1,1e-06,0.0,0.004985774632102641,0.0
40,0.0015601560156015,1,1,0,0,0,run,run,4,2,0.02166603683044479,-0.005455373705171534,0.011919330364293261,0.014310728838392912
41,0.0016001600160016,1,1,0,0,0,run,run,5,1,0.01240336758172547,0.016702627390368346,0.01571809406750544,0.018978172952404195
42,0.0016401640164016,1,1,0,0,0,run,run,6,2,0.0578455848083111,0.008304952500892748,0.014072041273250048,-0.0034264435455487016
43,0.0016801680168016,1,1,0,0,0,run,run,7,1,0.02121222279921289,-0.029390116083772802,0.007867434922934246,0.014416273432263135
44,0.0017201720172017,1,1,0,0,0,run,run,8,2,0.07923129142720624,0.03873583244624876,0.019121258131177005,-0.01380114422612832
45,0.0017601760176017,1,1,0,0,0,run,run,9,1,0.05515199862566748,0.07022065478866114,0.024572739433198522,-0.001796157097239629
46,0.0018001800180018,1,1,0,0,0,run,run,10,2,0.00581723267567822,0.00970335768704265,0.014564951663828743,0.022184934928863274
47,0.0018401840184018,1,1,0,0,0,run,run,11,1,0.07698669126843485,0.029272672508324143,0.017529409797369014,-0.012743089126590744
48,0.0018801880188018,1,1,0,0,0,run,run,12,2,0.020021105862672264,0.007837533662862212,0.01417901263855228,0.015185659687926402
49,0.0019201920192019,1,0,1,0,0,run,run,1,1,0.101599,0.0,0.05601029521283628,0.0
50,0.0019601960196019,1,1,0,0,0,run,run,2,2,0.017798112222929416,0.02580184287204763,0.01723279387432033,0.01636805928513353
51,0.002000200020002,1,0,1,0,0,run,run,3,1,9.999999999999728e-07,0.0,0.006311536974694402,0.0
52,0.002040204020402,1,0,1,0,0,run,run,4,2,0.053801,0.0,-0.00677596864638267,0.0
53,0.002080208020802,1,1,0,0,0,run,run,5,1,0.016925817885704512,0.0328509701908023,0.018431086137267252,0.016832028436705226
54,0.0021202120212021,1,1,0,0,0,run,run,6,2,0.010062902157757049,-0.02460646579265418,0.008732570695278085,0.01992668380491256
55,0.0021602160216021,1,0,1,0,0,run,run,7,1,0.053801,0.0,-0.006679540939586651,0.0
56,0.0022002200220022,1,1,0,0,0,run,run,8,2,0.00152703940502489,0.016437478878932738,0.015726707730526986,0.024329390242320822
57,0.0022402240224022,1,1,0,0,0,run,run,9,1,0.08906149628833193,0.027047176989028043,0.01709302637245229,-0.01869636494053172
58,0.0022802280228022,1,1,0,0,0,run,run,10,2,0.01689328553522012,0.005511794150398774,0.013800465652057788,0.016713495336100257
59,0.0023202320232023,1,1,0,0,0,run,run,11,1,0.018388052741941732,0.021034454558786376,0.016422378021134443,0.01605427276789589
60,0.0023602360236023,1,0,1,0,0,run,run,12,2,1e-06,0.0,0.0028887252851933064,0.0
61,0.0024002400240024,1,1,0,0,0,run,run,1,1,0.045983276007129634,0.0615081067848465,0.023142107082688865,0.0026731315470831874
62,0.0024402440244024,1,1,0,0,0,run,run,2,2,0.04565030374956632,0.019031869469921945,0.015949010418798912,0.0026279593200246257
63,0.0024802480248024,1,1,0,0,0,run,run,3,1,0.015448724796193193,0.017185482875091185,0.015784894397107164,0.017481850227193986
64,0.0025202520252025,1,1,0,0,0,run,run,4,2,0.011338275244945278,4.959287573778355e-16,0.025399999999999995,1.336762576622983e-16
65,0.0025602560256025,1,1,0,0,0,run,run,5,1,0.03038439060580898,0.059591534370427454,0.02289423919714612,0.010340314202696457
