time_s,particle_id,part_id,step_name,segment_name,outcome,wall_mode,alpha_hit,material_id,material_name
0.02,449,6,run,run,reflected_specular,mixed_specular_diffuse,0.417847586284723,2,ceramic_reflective
0.02,449,6,run,run,reflected_specular,mixed_specular_diffuse,0.004060445883943477,2,ceramic_reflective
0.02,449,6,run,run,reflected_specular,mixed_specular_diffuse,0.00403569402526692,2,ceramic_reflective
0.02,449,6,run,run,reflected_diffuse,mixed_specular_diffuse,0.004011814369435889,2,ceramic_reflective
0.02,449,6,run,run,reflected_diffuse,mixed_specular_diffuse,0.003988764472565744,2,ceramic_reflective
0.02,486,11,run,run,reflected_diffuse,mixed_specular_diffuse,0.9649922365617316,1,steel_sticky
0.03,229,11,run,run,reflected_specular,mixed_specular_diffuse,0.6454952297074906,1,steel_sticky
0.03,267,6,run,run,reflected_specular,mixed_specular_diffuse,0.19407916282347126,2,ceramic_reflective
0.03,694,6,run,run,reflected_diffuse,mixed_specular_diffuse,0.6887742012780965,2,ceramic_reflective
0.03,694,6,run,run,reflected_specular,mixed_specular_diffuse,0.006578015414318053,2,ceramic_reflective
0.03,694,6,run,run,reflected_specular,mixed_specular_diffuse,0.0066144918822108436,2,ceramic_reflective
0.03,694,6,run,run,reflected_diffuse,mixed_specular_diffuse,0.006651425582961487,2,ceramic_reflective
0.03,694,6,run,run,reflected_specular,mixed_specular_diffuse,0.006671367423007307,2,ceramic_reflective
0.04,3,12,run,run,reflected_specular,mixed_specular_diffuse,0.7214895357100173,2,ceramic_reflective
0.04,3,12,run,run,reflected_specular,mixed_specular_diffuse,0.11439611688559403,2,ceramic_reflective
0.04,338,11,run,run,reflected_specular,mixed_specular_diffuse,0.8832714030721969,1,steel_sticky
0.04,345,12,run,run,reflected_specular,mixed_specular_diffuse,0.7304131292745042,2,ceramic_reflective
0.04,345,12,run,run,reflected_specular,mixed_specular_diffuse,0.13774209181560992,2,ceramic_reflective
0.04,677,6,run,run,reflected_specular,mixed_specular_diffuse,0.6994026210019723,2,ceramic_reflective
0.04,677,6,run,run,reflected_diffuse,mixed_specular_diffuse,0.0035665069542517545,2,ceramic_reflective
0.04,677,6,run,run,reflected_specular,mixed_specular_diffuse,0.0035585485847246484,2,ceramic_reflective
0.04,677,6,run,run,stuck,mixed_specular_diffuse,0.0035642207293839563,2,ceramic_reflective
0.04,694,6,run,run,reflected_diffuse,mixed_specular_diffuse,0.00332140689956432,2,ceramic_reflective
0.04,694,6,run,run,reflected_diffuse,mixed_specular_diffuse,0.003321983534562554,2,ceramic_reflective
0.04,694,6,run,run,reflected_diffuse,mixed_specular_diffuse,0.0033229744569700185,2,ceramic_reflective
0.04,694,6,run,run,reflected_specular,mixed_specular_diffuse,0.003324015325834535,2,ceramic_reflective
0.04,694,6,run,run,reflected_diffuse,mixed_specular_diffuse,0.0033251315250036285,2,ceramic_reflective
0.04,850,6,run,run,reflected_specular,mixed_specular_diffuse,0.7810602292231872,2,ceramic_reflective
0.04,850,6,run,run,reflected_specular,mixed_specular_diffuse,0.010783609740721251,2,ceramic_reflective
0.04,850,6,run,run,reflected_specular,mixed_specular_diffuse,0.010820014047240251,2,ceramic_reflective
0.04,850,6,run,run,reflected_specular,mixed_specular_diffuse,0.010929448420614819,2,ceramic_reflective
0.04,850,6,run,run,reflected_specular,mixed_specular_diffuse,0.011041388252216724,2,ceramic_reflective
0.04,958,11,run,run,reflected_diffuse,mixed_specular_diffuse,0.9649922365617316,1,steel_sticky
0.04,1000,1,run,run,reflected_diffuse,mixed_specular_diffuse,0.0,1,steel_sticky
0.04,1000,1,run,run,reflected_specular,mixed_specular_diffuse,0.0023628642000742767,1,steel_sticky
0.04,1000,1,run,run,stuck,mixed_specular_diffuse,0.00236840049567755,1,steel_sticky
0.05,551,11,run,run,reflected_specular,mixed_specular_diffuse,0.8832714030721969,1,steel_sticky
0.05,694,6,run,run,reflected_specular,mixed_specular_diffuse,0.003321084634696119,2,ceramic_reflective
0.05,694,6,run,run,reflected_specular,mixed_specular_diffuse,0.0033219940092774863,2,ceramic_reflective
0.05,694,6,run,run,reflected_diffuse,mixed_specular_diffuse,0.003322974453550758,2,ceramic_reflective
0.05,694,6,run,run,reflected_specular,mixed_specular_diffuse,0.0033239977129957176,2,ceramic_reflective
0.05,694,6,run,run,reflected_specular,mixed_specular_diffuse,0.0033251296374554127,2,ceramic_reflective
0.05,845,6,run,run,reflected_diffuse,mixed_specular_diffuse,0.8575873747155692,2,ceramic_reflective
0.05,845,6,run,run,stuck,mixed_specular_diffuse,0.0062068441383760125,2,ceramic_reflective
0.05,850,6,run,run,reflected_diffuse,mixed_specular_diffuse,0.0034811685305064107,2,ceramic_reflective
0.05,850,6,run,run,reflected_diffuse,mixed_specular_diffuse,0.00348392971879196,2,ceramic_reflective
0.05,850,6,run,run,reflected_specular,mixed_specular_diffuse,0.003488477498607062,2,ceramic_reflective
