part_id,outcome,wall_mode,count
6,reflected_specular,mixed_specular_diffuse,5688
6,reflected_diffuse,mixed_specular_diffuse,2465
1,reflected_specular,mixed_specular_diffuse,2060
12,reflected_specular,mixed_specular_diffuse,1331
1,stuck,mixed_specular_diffuse,760
6,stuck,mixed_specular_diffuse,735
1,reflected_diffuse,mixed_specular_diffuse,723
12,reflected_diffuse,mixed_specular_diffuse,591
11,reflected_specular,mixed_specular_diffuse,206
12,stuck,mixed_specular_diffuse,174
11,stuck,mixed_specular_diffuse,94
11,reflected_diffuse,mixed_specular_diffuse,73
3,reflected_specular,mixed_specular_diffuse,2
4,reflected_diffuse,mixed_specular_diffuse,2
4,reflected_specular,mixed_specular_diffuse,2
4,stuck,mixed_specular_diffuse,1
