time_s,step_name,segment_name,released_count,active_count,stuck_count,absorbed_count,escaped_count,save_positions_enabled,write_wall_events_enabled,write_diagnostics_enabled
0.02,run,run,1,1,0,0,0,1,1,1
0.04,run,run,1,1,0,0,0,1,1,1
0.06,run,run,1,1,0,0,0,1,1,1
0.08,run,run,1,1,0,0,0,1,1,1
0.1,run,run,1,1,0,0,0,1,1,1
0.12,run,run,1,1,0,0,0,1,1,1
0.14,run,run,1,1,0,0,0,1,1,1
0.16,run,run,1,1,0,0,0,1,1,1
0.18,run,run,1,1,0,0,0,1,1,1
0.2,run,run,2,2,0,0,0,1,1,1
0.22,run,run,2,2,0,0,0,1,1,1
0.24,run,run,2,2,0,0,0,1,1,1
0.26,run,run,2,2,0,0,0,1,1,1
0.28,run,run,2,2,0,0,0,1,1,1
0.3,run,run,2,2,0,0,0,1,1,1
0.32,run,run,2,2,0,0,0,1,1,1
0.34,run,run,2,1,0,0,1,1,1,1
0.36,run,run,2,1,0,0,1,1,1,1
0.38,run,run,2,1,0,0,1,1,1,1
0.4,run,run,3,2,0,0,1,1,1,1
0.42,run,run,3,2,0,0,1,1,1,1
0.44,run,run,3,2,0,0,1,1,1,1
0.46,run,run,3,2,0,0,1,1,1,1
0.48,run,run,3,2,0,0,1,1,1,1
0.5,run,run,3,2,0,0,1,1,1,1
0.52,run,run,3,2,0,0,1,1,1,1
0.54,run,run,3,2,0,0,1,1,1,1
0.56,run,run,3,2,0,0,1,1,1,1
0.58,run,run,3,2,0,0,1,1,1,1
0.6,run,run,3,2,0,0,1,1,1,1
0.62,run,run,3,2,0,0,1,1,1,1
0.64,run,run,3,2,0,0,1,1,1,1
0.66,run,run,3,2,0,0,1,1,1,1
0.68,run,run,3,2,0,0,1,1,1,1
0.7000000000000001,run,run,3,2,0,0,1,1,1,1
0.72,run,run,3,2,0,0,1,1,1,1
0.74,run,run,3,2,0,0,1,1,1,1
0.76,run,run,3,2,0,0,1,1,1,1
0.78,run,run,3,2,0,0,1,1,1,1
0.8,run,run,3,2,0,0,1,1,1,1
0.8200000000000001,run,run,3,2,0,0,1,1,1,1
0.84,run,run,3,2,0,0,1,1,1,1
0.86,run,run,3,2,0,0,1,1,1,1
0.88,run,run,3,2,0,0,1,1,1,1
0.9,run,run,3,2,0,0,1,1,1,1
0.92,run,run,3,2,0,0,1,1,1,1
0.9400000000000001,run,run,3,2,0,0,1,1,1,1
0.96,run,run,3,2,0,0,1,1,1,1
0.98,run,run,3,2,0,0,1,1,1,1
1.0,run,run,3,2,0,0,1,1,1,1
