save_index,time_s,step_name,segment_name
0,0.0,etch,etch
1,0.04,etch,etch
2,0.08,etch,etch
3,0.12,etch,etch
4,0.16,etch,etch
5,0.2,etch,etch
6,0.24,etch,etch
7,0.28,etch,etch
8,0.32,etch,etch
9,0.36,etch,etch
10,0.4,etch,etch
11,0.44,etch,etch
12,0.48,etch,etch
13,0.52,etch,etch
14,0.56,etch,etch
15,0.6,etch,etch
16,0.64,etch,etch
17,0.68,etch,etch
18,0.72,etch,etch
19,0.76,etch,etch
20,0.8,etch,etch
21,0.84,etch,etch
22,0.88,etch,etch
23,0.92,etch,etch
24,0.96,etch,etch
25,1.0,etch,etch
26,1.04,etch,etch
27,1.08,etch,etch
28,1.12,etch,etch
29,1.16,etch,etch
30,1.2,etch,etch
31,1.24,etch,etch
32,1.28,etch,etch
33,1.32,etch,etch
34,1.36,etch,etch
35,1.4000000000000001,etch,etch
36,1.44,etch,etch
37,1.48,etch,etch
38,1.5,purge,purge
39,1.52,purge,purge
40,1.54,purge,purge
41,1.56,purge,purge
42,1.58,purge,purge
43,1.6,purge,purge
44,1.62,purge,purge
45,1.6400000000000001,purge,purge
46,1.6600000000000001,purge,purge
47,1.68,purge,purge
48,1.7,purge,purge
49,1.72,purge,purge
50,1.74,purge,purge
51,1.76,purge,purge
52,1.78,purge,purge
53,1.8,purge,purge
54,1.82,purge,purge
55,1.84,purge,purge
56,1.86,purge,purge
57,1.8800000000000001,purge,purge
58,1.9000000000000001,purge,purge
59,1.92,purge,purge
60,1.94,purge,purge
61,1.96,purge,purge
62,1.98,purge,purge
63,2.0,purge,purge
64,2.02,purge,purge
65,2.04,purge,purge
66,2.06,purge,purge
67,2.08,purge,purge
68,2.1,purge,purge
69,2.12,purge,purge
70,2.14,purge,purge
71,2.16,purge,purge
72,2.18,purge,purge
73,2.2,purge,purge
74,2.22,purge,purge
75,2.24,purge,purge
76,2.2600000000000002,purge,purge
77,2.2800000000000002,purge,purge
78,2.3000000000000003,purge,purge
79,2.32,purge,purge
80,2.34,purge,purge
81,2.36,purge,purge
82,2.38,purge,purge
83,2.4,purge,purge
84,2.42,purge,purge
85,2.44,purge,purge
86,2.46,purge,purge
87,2.48,purge,purge
88,2.5,purge,purge
89,2.52,purge,purge
90,2.54,purge,purge
91,2.56,purge,purge
92,2.58,purge,purge
93,2.6,purge,purge
94,2.62,purge,purge
95,2.64,purge,purge
96,2.66,purge,purge
97,2.68,purge,purge
98,2.7,purge,purge
99,2.72,purge,purge
100,2.74,purge,purge
101,2.7600000000000002,purge,purge
102,2.7800000000000002,purge,purge
103,2.8000000000000003,purge,purge
104,2.82,purge,purge
105,2.84,purge,purge
106,2.86,purge,purge
107,2.88,purge,purge
108,2.9,purge,purge
109,2.92,purge,purge
110,2.94,purge,purge
111,2.96,purge,purge
112,2.98,purge,purge
113,3.0,purge,purge
