time_s,particle_id,part_id,step_name,segment_name,outcome,wall_mode,alpha_hit,material_id,material_name
0.02,262,12,run,run,reflected_specular,mixed_specular_diffuse,0.9919054353660722,2,ceramic_reflective
0.02,277,6,run,run,reflected_specular,mixed_specular_diffuse,-0.0,2,ceramic_reflective
0.02,277,6,run,run,reflected_specular,mixed_specular_diffuse,0.0033312399590382847,2,ceramic_reflective
0.02,277,6,run,run,reflected_diffuse,mixed_specular_diffuse,0.0033314571080440033,2,ceramic_reflective
0.02,277,6,run,run,reflected_diffuse,mixed_specular_diffuse,0.003331678454219496,2,ceramic_reflective
0.02,277,6,run,run,reflected_diffuse,mixed_specular_diffuse,0.0033319040556552895,2,ceramic_reflective
0.02,449,6,run,run,reflected_specular,mixed_specular_diffuse,0.6740582534431295,2,ceramic_reflective
0.02,449,6,run,run,reflected_specular,mixed_specular_diffuse,0.00406557232226378,2,ceramic_reflective
0.02,449,6,run,run,reflected_diffuse,mixed_specular_diffuse,0.004072235395677912,2,ceramic_reflective
0.02,449,6,run,run,reflected_specular,mixed_specular_diffuse,0.004078949772062563,2,ceramic_reflective
0.02,449,6,run,run,reflected_specular,mixed_specular_diffuse,0.004085715869404686,2,ceramic_reflective
0.03,262,12,run,run,reflected_diffuse,mixed_specular_diffuse,0.6480296985355969,2,ceramic_reflective
0.03,267,6,run,run,reflected_specular,mixed_specular_diffuse,0.053068048916235594,2,ceramic_reflective
0.03,267,6,run,run,reflected_specular,mixed_specular_diffuse,0.0033650717321294767,2,ceramic_reflective
0.03,267,6,run,run,reflected_specular,mixed_specular_diffuse,0.003365809873513247,2,ceramic_reflective
0.03,267,6,run,run,reflected_specular,mixed_specular_diffuse,0.0033665577311774502,2,ceramic_reflective
0.03,267,6,run,run,reflected_specular,mixed_specular_diffuse,0.003367315388788914,2,ceramic_reflective
0.03,277,6,run,run,reflected_specular,mixed_specular_diffuse,0.003331239919178193,2,ceramic_reflective
0.03,277,6,run,run,reflected_specular,mixed_specular_diffuse,0.0033314570674113668,2,ceramic_reflective
0.03,277,6,run,run,reflected_diffuse,mixed_specular_diffuse,0.0033316784128035347,2,ceramic_reflective
0.03,277,6,run,run,reflected_specular,mixed_specular_diffuse,0.0033319040134453665,2,ceramic_reflective
0.03,277,6,run,run,stuck,mixed_specular_diffuse,0.0033321339278334877,2,ceramic_reflective
0.03,449,6,run,run,reflected_diffuse,mixed_specular_diffuse,0.0033312336662039157,2,ceramic_reflective
0.03,449,6,run,run,reflected_diffuse,mixed_specular_diffuse,0.0033314506932402344,2,ceramic_reflective
0.03,449,6,run,run,reflected_diffuse,mixed_specular_diffuse,0.003331671915752342,2,ceramic_reflective
0.03,449,6,run,run,reflected_specular,mixed_specular_diffuse,0.0033318973918189283,2,ceramic_reflective
0.03,449,6,run,run,reflected_diffuse,mixed_specular_diffuse,0.003332127179924976,2,ceramic_reflective
0.03,593,12,run,run,reflected_specular,mixed_specular_diffuse,0.9017604745036686,2,ceramic_reflective
0.03,694,6,run,run,reflected_specular,mixed_specular_diffuse,0.8091983425323892,2,ceramic_reflective
0.03,694,6,run,run,reflected_specular,mixed_specular_diffuse,0.010713174191360945,2,ceramic_reflective
0.03,694,6,run,run,reflected_specular,mixed_specular_diffuse,0.010810112934935969,2,ceramic_reflective
0.03,694,6,run,run,reflected_specular,mixed_specular_diffuse,0.010909021640166671,2,ceramic_reflective
0.03,694,6,run,run,reflected_diffuse,mixed_specular_diffuse,0.011009960664558264,2,ceramic_reflective
0.04,3,12,run,run,reflected_diffuse,mixed_specular_diffuse,0.9643184958740929,2,ceramic_reflective
0.04,262,12,run,run,reflected_specular,mixed_specular_diffuse,0.6480301180606005,2,ceramic_reflective
0.04,267,6,run,run,reflected_diffuse,mixed_specular_diffuse,0.003354394117879058,2,ceramic_reflective
0.04,267,6,run,run,reflected_specular,mixed_specular_diffuse,0.0033549862188630795,2,ceramic_reflective
0.04,267,6,run,run,reflected_specular,mixed_specular_diffuse,0.0033555867196515083,2,ceramic_reflective
0.04,267,6,run,run,reflected_diffuse,mixed_specular_diffuse,0.0033561956992989666,2,ceramic_reflective
0.04,267,6,run,run,reflected_specular,mixed_specular_diffuse,0.0033568132371507202,2,ceramic_reflective
0.04,345,12,run,run,reflected_specular,mixed_specular_diffuse,0.9719130097551101,2,ceramic_reflective
0.04,449,6,run,run,reflected_diffuse,mixed_specular_diffuse,0.0033312336172216573,2,ceramic_reflective
0.04,449,6,run,run,stuck,mixed_specular_diffuse,0.003331450643308431,2,ceramic_reflective
0.04,593,12,run,run,reflected_diffuse,mixed_specular_diffuse,0.5743340854731538,2,ceramic_reflective
0.04,677,6,run,run,reflected_diffuse,mixed_specular_diffuse,0.8746590987767329,2,ceramic_reflective
0.04,677,6,run,run,reflected_specular,mixed_specular_diffuse,0.007084977411627274,2,ceramic_reflective
0.04,677,6,run,run,reflected_diffuse,mixed_specular_diffuse,0.00712199130855763,2,ceramic_reflective
0.04,677,6,run,run,reflected_specular,mixed_specular_diffuse,0.007159429281396299,2,ceramic_reflective
0.04,677,6,run,run,reflected_specular,mixed_specular_diffuse,0.007197388219269951,2,ceramic_reflective
0.04,694,6,run,run,stuck,mixed_specular_diffuse,0.003813573578592043,2,ceramic_reflective
0.04,850,6,run,run,reflected_diffuse,mixed_specular_diffuse,0.8953956906504026,2,ceramic_reflective
0.04,850,6,run,run,reflected_diffuse,mixed_specular_diffuse,0.021810720261544365,2,ceramic_reflective
0.04,850,6,run,run,reflected_specular,mixed_specular_diffuse,0.02226098760413198,2,ceramic_reflective
0.04,850,6,run,run,reflected_diffuse,mixed_specular_diffuse,0.022731157255318348,2,ceramic_reflective
0.04,850,6,run,run,reflected_diffuse,mixed_specular_diffuse,0.02322224697696864,2,ceramic_reflective
0.04,1000,1,run,run,reflected_specular,mixed_specular_diffuse,-0.0,1,steel_sticky
0.04,1000,1,run,run,reflected_specular,mixed_specular_diffuse,0.00237163006895772,1,steel_sticky
0.04,1000,1,run,run,reflected_specular,mixed_specular_diffuse,0.0023773729481750836,1,steel_sticky
0.04,1000,1,run,run,reflected_specular,mixed_specular_diffuse,0.0023831434616363614,1,steel_sticky
0.04,1000,1,run,run,reflected_specular,mixed_specular_diffuse,0.002388941809234563,1,steel_sticky
0.05,3,12,run,run,reflected_diffuse,mixed_specular_diffuse,0.5487132036798938,2,ceramic_reflective
0.05,262,12,run,run,reflected_specular,mixed_specular_diffuse,0.6480321132751846,2,ceramic_reflective
0.05,267,6,run,run,reflected_diffuse,mixed_specular_diffuse,0.003354393917840932,2,ceramic_reflective
0.05,267,6,run,run,stuck,mixed_specular_diffuse,0.0033549860159805514,2,ceramic_reflective
0.05,345,12,run,run,reflected_specular,mixed_specular_diffuse,0.6127809024899875,2,ceramic_reflective
