part_id,outcome,wall_mode,count
6,reflected_specular,mixed_specular_diffuse,6082
6,reflected_diffuse,mixed_specular_diffuse,2642
1,reflected_specular,mixed_specular_diffuse,1947
1,stuck,mixed_specular_diffuse,756
6,stuck,mixed_specular_diffuse,723
1,reflected_diffuse,mixed_specular_diffuse,696
12,reflected_specular,mixed_specular_diffuse,428
12,reflected_diffuse,mixed_specular_diffuse,206
12,stuck,mixed_specular_diffuse,69
4,reflected_specular,mixed_specular_diffuse,2
3,reflected_diffuse,mixed_specular_diffuse,1
4,reflected_diffuse,mixed_specular_diffuse,1
4,stuck,mixed_specular_diffuse,1
