particle_id,release_time,released,active,stuck,absorbed,escaped,final_step_name,final_segment_name,source_part_id,material_id,x,v_x,y,v_y
1,0.0,1,1,0,0,0,run,run,1,1,0.08234202912995017,0.034463413585999414,0.01852610312716429,-0.015512069233907171
2,4.0004000400040005e-05,1,1,0,0,0,run,run,2,2,0.03846243409728889,-0.004135343913237505,0.012003543199491751,0.006070371598986749
3,8.000800080008001e-05,1,1,0,0,0,run,run,3,1,0.1015998167475744,0.0,0.06207440090993443,0.0
4,0.0001200120012001,1,1,0,0,0,run,run,4,2,0.019947668635656883,0.012073231652914296,0.014753890139621636,0.01518696437795904
5,0.0001600160016001,1,1,0,0,0,run,run,5,1,0.041908343809196696,0.0076185900578577695,0.013992816163805263,0.004378163264326301
6,0.0002000200020002,1,0,1,0,0,run,run,6,2,1e-06,0.0,0.00404329796057604,0.0
7,0.0002400240024002,1,0,1,0,0,run,run,7,1,0.053801,0.0,-0.005090201947931967,0.0
8,0.0002800280028002,1,1,0,0,0,run,run,8,2,0.08391517061136325,0.02169559119692687,0.016363601297367792,-0.01629018101821879
9,0.0003200320032003,1,1,0,0,0,run,run,9,1,0.006770960376705675,0.024678824230336804,0.01689249007263466,0.021675449364007525
10,0.0003600360036003,1,1,0,0,0,run,run,10,2,0.04745351646362637,0.049503780011173296,0.021083669543706458,0.0016621196884296298
11,0.0004000400040004,1,1,0,0,0,run,run,11,1,0.020948245292267676,0.03374346193234558,0.018423074776810044,0.014701219373076793
12,0.0004400440044004,1,1,0,0,0,run,run,12,2,0.024452585036874547,0.0053017813977266895,0.013605872255944725,0.012967892724630115
13,0.0004800480048004,1,1,0,0,0,run,run,1,1,0.05131458257495917,0.01816686154298642,0.01577609700215574,-0.0002476519861025488
14,0.0005200520052005,1,1,0,0,0,run,run,2,2,0.026604860728939365,0.02010725819436275,0.01611227104332317,0.011913254608233625
15,0.0005600560056005,1,1,0,0,0,run,run,3,1,0.009231386446527911,0.024570378214592323,0.016873369770513163,0.02046457505433378
16,0.0006000600060006,1,1,0,0,0,run,run,4,2,0.009239589661616683,0.00464310549390448,0.013499015672027,0.02045440881528295
17,0.0006400640064006,1,0,1,0,0,run,run,5,1,1e-06,0.0,0.0034755242928882495,0.0
18,0.0006800680068006,1,0,1,0,0,run,run,6,2,1e-06,0.0,0.009879159426828005,0.0
19,0.0007200720072007,1,0,1,0,0,run,run,7,1,1e-06,0.0,0.003966810082352794,0.0
20,0.0007600760076007,1,1,0,0,0,run,run,8,2,0.08317045484140621,0.0029139340244615196,0.013183469684299698,-0.015929463478994165
