part_id,outcome,wall_mode,count
6,reflected_specular,mixed_specular_diffuse,4346
1,reflected_specular,mixed_specular_diffuse,2043
6,reflected_diffuse,mixed_specular_diffuse,1967
1,stuck,mixed_specular_diffuse,752
1,reflected_diffuse,mixed_specular_diffuse,675
6,stuck,mixed_specular_diffuse,591
12,reflected_specular,mixed_specular_diffuse,122
12,reflected_diffuse,mixed_specular_diffuse,53
11,reflected_specular,mixed_specular_diffuse,20
11,reflected_diffuse,mixed_specular_diffuse,12
12,stuck,mixed_specular_diffuse,9
11,stuck,mixed_specular_diffuse,7
4,reflected_specular,mixed_specular_diffuse,4
3,reflected_diffuse,mixed_specular_diffuse,1
3,reflected_specular,mixed_specular_diffuse,1
3,stuck,mixed_specular_diffuse,1
4,stuck,mixed_specular_diffuse,1
