particle_id,release_time,released,active,stuck,absorbed,escaped,final_step_name,final_segment_name,source_part_id,material_id,x,v_x,y,v_y
1,0.0,1,1,0,0,0,run,run,1,1,0.08234336043475043,0.03486108463068829,0.018525516842707604,-0.015438640231491106
2,4.0004000400040005e-05,1,1,0,0,0,run,run,2,2,0.03846226882411094,-0.0042908812318103945,0.012003773654716686,0.0060615985615690045
3,8.000800080008001e-05,1,1,0,0,0,run,run,3,1,0.10159840921195028,0.0,0.06207131541097824,0.0
4,0.0001200120012001,1,1,0,0,0,run,run,4,2,0.019948107941183017,0.011684307351018585,0.014754469149829199,0.015212873611995439
5,0.0001600160016001,1,1,0,0,0,run,run,5,1,0.04190862785987512,0.007506506529096174,0.013992983536158366,0.004394465966534767
6,0.0002000200020002,1,0,1,0,0,run,run,6,2,1e-06,0.0,0.0040467562490389825,0.0
7,0.0002400240024002,1,0,1,0,0,run,run,7,1,0.053801,0.0,-0.005090904697963733,0.0
8,0.0002800280028002,1,1,0,0,0,run,run,8,2,0.08391601726928993,0.0221130796447552,0.016362984017606535,-0.016244014319791483
9,0.0003200320032003,1,1,0,0,0,run,run,9,1,0.006771870659876116,0.024123802766250837,0.016893317274334275,0.02172832597923225
10,0.0003600360036003,1,1,0,0,0,run,run,10,2,0.04745539732984972,0.049461648230991,0.021083738185143364,0.001767809711117573
11,0.0004000400040004,1,1,0,0,0,run,run,11,1,0.020949509538329223,0.03336717559989579,0.018423637681267056,0.01477338339034996
12,0.0004400440044004,1,1,0,0,0,run,run,12,2,0.024452769680547104,0.004969640435720063,0.013606366115068578,0.012979327064041545
13,0.0004800480048004,1,1,0,0,0,run,run,1,1,0.05131527394002067,0.01817336893771694,0.01577608956974845,-0.00020887365526898056
14,0.0005200520052005,1,1,0,0,0,run,run,2,2,0.0266056099353418,0.0198022663299708,0.016112726405693105,0.011956284512868837
15,0.0005600560056005,1,1,0,0,0,run,run,3,1,0.009232294194567357,0.02404637382339128,0.01687415090052313,0.020517209274752743
