part_id,outcome,wall_mode,count
6,reflected_specular,mixed_specular_diffuse,5213
6,reflected_diffuse,mixed_specular_diffuse,2334
1,reflected_specular,mixed_specular_diffuse,1949
1,stuck,mixed_specular_diffuse,753
1,reflected_diffuse,mixed_specular_diffuse,653
6,stuck,mixed_specular_diffuse,632
12,reflected_specular,mixed_specular_diffuse,108
12,reflected_diffuse,mixed_specular_diffuse,53
11,reflected_specular,mixed_specular_diffuse,25
12,stuck,mixed_specular_diffuse,18
11,reflected_diffuse,mixed_specular_diffuse,7
11,stuck,mixed_specular_diffuse,7
3,reflected_specular,mixed_specular_diffuse,2
4,reflected_specular,mixed_specular_diffuse,2
3,stuck,mixed_specular_diffuse,1
4,stuck,mixed_specular_diffuse,1
