particle_id,x,y,vx,vy,release_time,mass,diameter,density,charge,source_part_id,material_id,source_event_tag,stick_probability
1,0.0361596092915713,0.024767956994867522,0.0,0.0,0.0,1e-15,1e-06,1200.0,0.0,1,1,,0.0
2,0.09290356705971428,-0.024210631390728585,0.0,0.0,4e-05,1e-15,1e-06,1200.0,0.0,2,2,,0.0
3,0.07116585704433911,0.06135446071531417,0.0,0.0,8e-05,1e-15,1e-06,1200.0,0.0,5,1,,0.0
4,0.07394093919608725,-0.005807743064879127,0.0,0.0,0.00012000000000000002,1e-15,1e-06,1200.0,0.0,6,2,,0.0
5,0.08078140574877361,0.042785857133391385,0.0,0.0,0.00016,1e-15,1e-06,1200.0,0.0,7,1,,0.0
6,0.06946241212724591,-0.01683334140601999,0.0,0.0,0.0002,1e-15,1e-06,1200.0,0.0,8,2,,0.0
7,0.08887553416660438,-0.017088951577315985,0.0,0.0,0.00024000000000000003,1e-15,1e-06,1200.0,0.0,9,1,,0.0
8,0.0793423403014563,0.03411591871753986,0.0,0.0,0.00028000000000000003,1e-15,1e-06,1200.0,0.0,1,2,,0.0
9,0.06510239632172309,0.018105126068324644,0.0,0.0,0.00032,1e-15,1e-06,1200.0,0.0,2,1,,0.0
10,0.09971841220394388,-0.014136592576177536,0.0,0.0,0.00036,1e-15,1e-06,1200.0,0.0,5,2,,0.0
11,0.004052014276351046,0.0044182065843811945,0.0,0.0,0.0004,1e-15,1e-06,1200.0,0.0,6,1,,0.0
12,0.03261596539026285,0.0059409734587747,0.0,0.0,0.00044,1e-15,1e-06,1200.0,0.0,7,2,,0.0
13,0.08864329912061955,-0.008841026541122142,0.0,0.0,0.00048000000000000007,1e-15,1e-06,1200.0,0.0,8,1,,0.0
14,0.02690440896398641,0.01913766831069617,0.0,0.0,0.0005200000000000001,1e-15,1e-06,1200.0,0.0,9,2,,0.0
15,0.06127488119211531,0.027388448379437408,0.0,0.0,0.0005600000000000001,1e-15,1e-06,1200.0,0.0,1,1,,0.0
16,0.07020919697212333,0.04317514814759318,0.0,0.0,0.0006000000000000001,1e-15,1e-06,1200.0,0.0,2,2,,0.0
17,0.09370143756418467,-0.01284851528156177,0.0,0.0,0.00064,1e-15,1e-06,1200.0,0.0,5,1,,0.0
18,0.07403031774567874,-0.005705537829009807,0.0,0.0,0.00068,1e-15,1e-06,1200.0,0.0,6,2,,0.0
19,0.0649201860103078,0.01870689857506342,0.0,0.0,0.00072,1e-15,1e-06,1200.0,0.0,7,1,,0.0
20,0.0762014953112184,-0.002390939223813931,0.0,0.0,0.00076,1e-15,1e-06,1200.0,0.0,8,2,,0.0
21,0.09134209089489706,0.010037175250029806,0.0,0.0,0.0008,1e-15,1e-06,1200.0,0.0,9,1,,0.0
22,0.07659727767481056,0.016916077958025768,0.0,0.0,0.00084,1e-15,1e-06,1200.0,0.0,1,2,,0.0
23,0.06741975620985188,-0.005999745517275571,0.0,0.0,0.00088,1e-15,1e-06,1200.0,0.0,2,1,,0.0
