particle_id,x,y,vx,vy,release_time,mass,diameter,density,charge,source_part_id,material_id,source_event_tag,stick_probability,source_x,source_y,release_offset_m,target_x,target_y,initial_speed_mps,particle_model
1,0.15753637272545351,0.024,-422.68963369752453,-7.5382833504940896,0.0,6.2831853071795859e-19,9.9999999999999995e-08,1200,0,11,40,part11_neutral_redeposit_to_wafer,0.0,0.15753637272545351,0.021999999999999999,0.0020000000000000018,0.059234716055880307,0.02166196920490026,422.75684755095307,neutral_100nm_low_pressure_redeposit
2,0.1741409900578979,0.024,-272.42582330489506,-51.878733882129062,0.0,6.2831853071795859e-19,9.9999999999999995e-08,1200,0,11,40,part11_neutral_redeposit_to_wafer,0.0,0.1741409900578979,0.021999999999999999,0.0020000000000000018,0.13997252347106948,0.021745708064403211,277.32153221948465,neutral_100nm_low_pressure_redeposit
3,0.16173460219316094,0.024,-961.1911950693858,17.688193162856692,0.0,6.2831853071795859e-19,9.9999999999999995e-08,1200,0,11,40,part11_neutral_redeposit_to_wafer,0.0,0.16173460219316094,0.021999999999999999,0.0020000000000000018,0.14791328573817006,0.022058565340354847,961.35393360420619,neutral_100nm_low_pressure_redeposit
4,0.16787561573652296,0.024,-490.86274961007689,-77.772326420200514,0.0,6.2831853071795859e-19,9.9999999999999995e-08,1200,0,11,40,part11_neutral_redeposit_to_wafer,0.0,0.16787561573652296,0.021999999999999999,0.0020000000000000018,0.12923135405063099,0.022018388996326944,496.98568763252655,neutral_100nm_low_pressure_redeposit
5,0.17619631463954288,0.024,-326.12218281851744,-1.0266937413740531,0.0,6.2831853071795859e-19,9.9999999999999995e-08,1200,0,11,40,part11_neutral_redeposit_to_wafer,0.0,0.17619631463954288,0.021999999999999999,0.0020000000000000018,0.14618335682183198,0.021848989795821189,326.12379892665467,neutral_100nm_low_pressure_redeposit
6,0.17004977647214167,0.024,-657.22049449847748,-49.706441366116699,0.0,6.2831853071795859e-19,9.9999999999999995e-08,1200,0,11,40,part11_neutral_redeposit_to_wafer,0.0,0.17004977647214167,0.021999999999999999,0.0020000000000000018,0.12800032425884014,0.021633646180052833,659.09749559690067,neutral_100nm_low_pressure_redeposit
7,0.16793189722625346,0.024,-875.83456244736055,-186.58842383709987,0.0,6.2831853071795859e-19,9.9999999999999995e-08,1200,0,11,40,part11_neutral_redeposit_to_wafer,0.0,0.16793189722625346,0.021999999999999999,0.0020000000000000018,0.13817132026227313,0.021790763641050561,895.48948664256955,neutral_100nm_low_pressure_redeposit
8,0.16261135571460089,0.024,-683.0975033626836,-57.951781632316631,0.0,6.2831853071795859e-19,9.9999999999999995e-08,1200,0,11,40,part11_neutral_redeposit_to_wafer,0.0,0.16261135571460089,0.021999999999999999,0.0020000000000000018,0.13701202950302663,0.02228404739195268,685.55131689370364,neutral_100nm_low_pressure_redeposit
9,0.15814272181965236,0.024,-498.50455148912022,-46.039132988486145,0.0,6.2831853071795859e-19,9.9999999999999995e-08,1200,0,11,40,part11_neutral_redeposit_to_wafer,0.0,0.15814272181965236,0.021999999999999999,0.0020000000000000018,0.038048440749664028,0.022018901801717398,500.62599774851924,neutral_100nm_low_pressure_redeposit
10,0.16733065574500544,0.024,-449.52514187526748,-35.485007151862497,0.0,6.2831853071795859e-19,9.9999999999999995e-08,1200,0,11,40,part11_neutral_redeposit_to_wafer,0.0,0.16733065574500544,0.021999999999999999,0.0020000000000000018,0.1432268705213891,0.022241058788312056,450.92353998271932,neutral_100nm_low_pressure_redeposit
11,0.16076358632005747,0.024,-609.50046494261278,-93.150621583411919,0.0,6.2831853071795859e-19,9.9999999999999995e-08,1200,0,11,40,part11_neutral_redeposit_to_wafer,0.0,0.16076358632005747,0.021999999999999999,0.0020000000000000018,0.14893611720745248,0.022495554986940502,616.57753370248349,neutral_100nm_low_pressure_redeposit
