particle_id,x,y,vx,vy,release_time,mass,diameter,density,charge,source_part_id,material_id,source_event_tag,stick_probability,source_x,source_y,release_offset_m,impulse_voltage_V,initial_speed_mps,charge_number_e,charge_model,particle_model
1,0.17180854008158158,0.024,-18.722054103960815,98.205739097216622,0.0,9.2153384505300617e-21,2e-08,2200,-9.5744509826295496e-18,11,40,part11_sio2_20nm_charged_sheath_ejection,0.0,0.17180854008158158,0.021999999999999999,0.0020000000000000018,4.518470882950969,99.974409233074326,-59.7590226910621,floating_potential_oml_like_from_Te_ne_ni_quasineutral,charged_sio2_20nm_sheath_edge_ejection
2,0.16616313971508401,0.024,-131.84380793902852,211.34833029210623,0.0,9.2153384505300617e-21,2e-08,2200,-9.5744509826295496e-18,11,40,part11_sio2_20nm_charged_sheath_ejection,0.0,0.16616313971508401,0.021999999999999999,0.0020000000000000018,31.664771928152511,249.10019351482782,-59.7590226910621,floating_potential_oml_like_from_Te_ne_ni_quasineutral,charged_sio2_20nm_sheath_edge_ejection
3,0.17700947559461694,0.024,-221.63270145212374,185.92327949020779,0.0,9.2153384505300617e-21,2e-08,2200,-9.5744509826295496e-18,11,40,part11_sio2_20nm_charged_sheath_ejection,0.0,0.17700947559461694,0.021999999999999999,0.0020000000000000018,38.562122125758464,289.28968216886017,-59.7590226910621,floating_potential_oml_like_from_Te_ne_ni_quasineutral,charged_sio2_20nm_sheath_edge_ejection
4,0.16458630092791013,0.024,78.225761087910556,-2.588351570285234,0.0,9.2153384505300617e-21,2e-08,2200,-9.5744509826295496e-18,11,40,part11_sio2_20nm_charged_sheath_ejection,0.0,0.16458630092791013,0.021999999999999999,0.0020000000000000018,2.8612456263501418,78.268571352965552,-59.7590226910621,floating_potential_oml_like_from_Te_ne_ni_quasineutral,charged_sio2_20nm_sheath_edge_ejection
5,0.15706395878264481,0.024,-199.15082357501862,-69.353066969316373,0.0,9.2153384505300617e-21,2e-08,2200,-9.5744509826295496e-18,11,40,part11_sio2_20nm_charged_sheath_ejection,0.0,0.15706395878264481,0.021999999999999999,0.0020000000000000018,18.328458317970231,210.88124247703652,-59.7590226910621,floating_potential_oml_like_from_Te_ne_ni_quasineutral,charged_sio2_20nm_sheath_edge_ejection
6,0.15619648477193621,0.024,-135.14859652279949,-26.854085760471897,0.0,9.2153384505300617e-21,2e-08,2200,-9.5744509826295496e-18,11,40,part11_sio2_20nm_charged_sheath_ejection,0.0,0.15619648477193621,0.021999999999999999,0.0020000000000000018,7.5743860740723497,137.79072923862921,-59.7590226910621,floating_potential_oml_like_from_Te_ne_ni_quasineutral,charged_sio2_20nm_sheath_edge_ejection
7,0.17759737988664312,0.024,-186.99953180628532,-79.436001173452311,0.0,9.2153384505300617e-21,2e-08,2200,-9.5744509826295496e-18,11,40,part11_sio2_20nm_charged_sheath_ejection,0.0,0.17759737988664312,0.021999999999999999,0.0020000000000000018,23.688185121828116,203.17210236200893,-59.7590226910621,floating_potential_oml_like_from_Te_ne_ni_quasineutral,charged_sio2_20nm_sheath_edge_ejection
8,0.15400989506167442,0.024,105.79715720994413,74.896885880664613,0.0,9.2153384505300617e-21,2e-08,2200,-9.5744509826295496e-18,11,40,part11_sio2_20nm_charged_sheath_ejection,0.0,0.15400989506167442,0.021999999999999999,0.0020000000000000018,10.32662141399282,129.62477382170019,-59.7590226910621,floating_potential_oml_like_from_Te_ne_ni_quasineutral,charged_sio2_20nm_sheath_edge_ejection
9,0.16881535684842836,0.024,-88.603597248895284,97.55844930823244,0.0,9.2153384505300617e-21,2e-08,2200,-9.5744509826295496e-18,11,40,part11_sio2_20nm_charged_sheath_ejection,0.0,0.16881535684842836,0.021999999999999999,0.0020000000000000018,9.828089487360586,131.78865078932785,-59.7590226910621,floating_potential_oml_like_from_Te_ne_ni_quasineutral,charged_sio2_20nm_sheath_edge_ejection
10,0.15622360438807947,0.024,-103.40645076785442,-173.91588347821533,0.0,9.2153384505300617e-21,2e-08,2200,-9.5744509826295496e-18,11,40,part11_sio2_20nm_charged_sheath_ejection,0.0,0.15622360438807947,0.021999999999999999,0.0020000000000000018,18.07944659674412,202.33543581491818,-59.7590226910621,floating_potential_oml_like_from_Te_ne_ni_quasineutral,charged_sio2_20nm_sheath_edge_ejection
11,0.1724810692046197,0.024,-158.77510733412126,172.4059713857547,0.0,9.2153384505300617e-21,2e-08,2200,-9.5744509826295496e-18,11,40,part11_sio2_20nm_charged_sheath_ejection,0.0,0.1724810692046197,0.021999999999999999,0.0020000000000000018,25.97237528171874,234.37865448548723,-59.7590226910621,floating_potential_oml_like_from_Te_ne_ni_quasineutral,charged_sio2_20nm_sheath_edge_ejection
12,0.17814499984741991,0.024,-284.03502755419026,-193.7320160038397,0.0,9.2153384505300617e-21,2e-08,2200,-9.5744509826295496e-18,11,40,part11_sio2_20nm_charged_sheath_ejection,0.0,0.17814499984741991,0.021999999999999999,0.0020000000000000018,62.118158918466129,343.81388992101762,-59.7590226910621,floating_potential_oml_like_from_Te_ne_ni_quasineutral,charged_sio2_20nm_sheath_edge_ejection
13,0.17883861460947484,0.024,-243.10869165534103,72.692865079608168,0.0,9.2153384505300617e-21,2e-08,2200,-9.5744509826295496e-18,11,40,part11_sio2_20nm_charged_sheath_ejection,0.0,0.17883861460947484,0.021999999999999999,0.0020000000000000018,29.187662104380287,253.74414001480665,-59.7590226910621,floating_potential_oml_like_from_Te_ne_ni_quasineutral,charged_sio2_20nm_sheath_edge_ejection
14,0.17812734653942552,0.024,-135.46827650863986,31.800268411940269,0.0,9.2153384505300617e-21,2e-08,2200,-9.5744509826295496e-18,11,40,part11_sio2_20nm_charged_sheath_ejection,0.0,0.17812734653942552,0.021999999999999999,0.0020000000000000018,9.569070583484903,139.15067736555488,-59.7590226910621,floating_potential_oml_like_from_Te_ne_ni_quasineutral,charged_sio2_20nm_sheath_edge_ejection
15,0.16805479993440026,0.024,-187.47739791066201,-260,0.0,9.2153384505300617e-21,2e-08,2200,-9.5744509826295496e-18,11,40,part11_sio2_20nm_charged_sheath_ejection,0.0,0.16805479993440026,0.021999999999999999,0.0020000000000000018,45.667214456372122,324.56156535348714,-59.7590226910621,floating_potential_oml_like_from_Te_ne_ni_quasineutral,charged_sio2_20nm_sheath_edge_ejection
