part_id,part_name,material_id,material_name,wall_law,wall_restitution,wall_diffuse_fraction,wall_stick_probability,active_in_solver_boundary,comsol_edge_entity_id,x_min_m,x_max_m,y_min_m,y_max_m,adjacent_domain_ids,comsol_material_name
2,axis_symmetry_2,10,axis_symmetry,specular,1.0,0.0,0.0,False,2,0.0,0.0,0.0,0.02,2,not_exported_from_mphtxt
3,wafer_3,20,wafer,specular,0.95,0.0,0.5,False,3,0.0,0.1519999999999999,0.0,0.0,2,not_exported_from_mphtxt
4,axis_symmetry_4,10,axis_symmetry,specular,1.0,0.0,0.0,False,4,0.0,0.0,0.02,0.022,3,Air
6,axis_symmetry_6,10,axis_symmetry,specular,1.0,0.0,0.0,True,6,0.0,0.0,0.022,0.13,4,Glass (quartz)
7,glass_quartz_wall_7,60,glass_quartz,specular,0.95,0.0,0.5,True,7,0.0,0.15,0.0205,0.022,3;4,Air|Glass (quartz)
8,axis_symmetry_8,10,axis_symmetry,specular,1.0,0.0,0.0,False,8,0.0,0.0,0.13,0.15,5,Air
9,glass_quartz_wall_9,60,glass_quartz,specular,0.95,0.0,0.5,True,9,0.0,0.24,0.13,0.13,4;5,Glass (quartz)|Air
10,axis_symmetry_10,10,axis_symmetry,specular,1.0,0.0,0.0,False,10,0.0,0.0,0.15,0.22,6,Copper
11,copper_wall_11,70,copper,specular,0.95,0.0,0.5,False,11,0.0,0.25,0.15,0.15,5;6,Air|Copper
12,copper_wall_12,70,copper,specular,0.95,0.0,0.5,False,12,0.0,0.25,0.2199999999999999,0.22,6,Copper
32,chamber_wall_32,40,chamber_wall,specular,0.95,0.0,0.5,False,32,0.1519999999999999,0.182,0.0,0.0,11,not_exported_from_mphtxt
34,glass_quartz_wall_34,60,glass_quartz,specular,0.95,0.0,0.5,True,34,0.1534999999999999,0.179,0.022,0.022,4;11,Glass (quartz)
35,glass_quartz_wall_35,60,glass_quartz,specular,0.95,0.0,0.5,True,35,0.1819999999999999,0.182,0.0,0.0189999999999999,4;11,Glass (quartz)
36,glass_quartz_wall_36,60,glass_quartz,specular,0.95,0.0,0.5,True,36,0.182,0.25,0.0,0.0,4,Glass (quartz)
37,glass_quartz_wall_37,60,glass_quartz,specular,0.95,0.0,0.5,True,37,0.24,0.24,0.103,0.108,4;12,Glass (quartz)
38,glass_quartz_wall_38,60,glass_quartz,specular,0.95,0.0,0.5,True,38,0.2399999999999999,0.24,0.108,0.123,4;12,Glass (quartz)
39,glass_quartz_wall_39,60,glass_quartz,specular,0.95,0.0,0.5,True,39,0.24,0.24,0.123,0.13,4;12,Glass (quartz)
41,glass_quartz_wall_41,60,glass_quartz,specular,0.95,0.0,0.5,True,41,0.243,0.25,0.1,0.1,4;12,Glass (quartz)
42,glass_quartz_wall_42,60,glass_quartz,specular,0.95,0.0,0.5,True,42,0.25,0.25,0.0,0.1,4,Glass (quartz)
43,sidewall_43,50,sidewall,specular,0.95,0.0,0.5,False,43,0.25,0.25,0.1,0.13,12,not_exported_from_mphtxt
44,sidewall_44,50,sidewall,specular,0.95,0.0,0.5,False,44,0.25,0.25,0.13,0.15,5,Air
45,copper_wall_45,70,copper,specular,0.95,0.0,0.5,False,45,0.25,0.25,0.15,0.22,6,Copper
46,glass_quartz_wall_46,60,glass_quartz,specular,0.95,0.0,0.5,True,46,0.1519999999999999,0.1534999999999999,0.0204999999999999,0.022,4;11,Glass (quartz)
47,glass_quartz_wall_47,60,glass_quartz,specular,0.95,0.0,0.5,True,47,0.179,0.1819999999999999,0.0189999999999999,0.022,4;11,Glass (quartz)
48,glass_quartz_wall_48,60,glass_quartz,specular,0.95,0.0,0.5,True,48,0.24,0.243,0.1,0.103,4;12,Glass (quartz)
